,Close,High,Low,Open,Volume
2016-04-27,0.00869001,0.009164,0.00818,0.00870001,4013.658209
2016-04-28,0.00844702,0.00881512,0.008311200000000001,0.00867441,1266.030966
2016-04-29,0.00841985,0.00855003,0.00785,0.00844702,697.3325226
2016-04-30,0.00815047,0.0084274,0.0081043,0.00839014,841.303418
2016-05-01,0.00818463,0.0082705,0.00805,0.0081499,270.8510398
2016-05-02,0.008266200000000001,0.0084,0.0081599,0.00818463,562.9008163999998
2016-05-03,0.00833913,0.00840001,0.00822889,0.008266200000000001,253.4952005
2016-05-04,0.00838,0.00868763,0.008320000000000001,0.00833959,229.0960977
2016-05-05,0.00827101,0.00844485,0.00824887,0.0084,137.7303805
2016-05-06,0.00838305,0.008485,0.008201799999999999,0.0083131,187.6320307
2016-05-07,0.00873861,0.00880013,0.00831252,0.00834114,502.3561262
2016-05-08,0.00860058,0.00873804,0.00850013,0.00868,277.6559458
2016-05-09,0.00889998,0.00892,0.00843455,0.00860057,593.7114119
2016-05-10,0.008492,0.00904497,0.00845,0.008867,926.8572169
2016-05-11,0.00858083,0.00866048,0.008425,0.008492,275.9122804
2016-05-12,0.00850871,0.0086425,0.00839,0.00858086,277.5805954
2016-05-13,0.00862853,0.00874874,0.00839283,0.00850871,289.8471888
2016-05-14,0.00878577,0.008907799999999999,0.0086041,0.00862853,300.3731901
2016-05-15,0.00888133,0.00899783,0.00870006,0.00878451,306.7615815
2016-05-16,0.00882103,0.0092595,0.00865209,0.00891093,627.9486145
2016-05-17,0.00873858,0.00891087,0.00870777,0.00882102,361.2230719
2016-05-18,0.00883767,0.0089068,0.00856199,0.00877297,601.4762703
2016-05-19,0.00870004,0.008921,0.00857428,0.00883241,904.4608571
2016-05-20,0.00874276,0.00892535,0.00863102,0.00870001,853.2104939999997
2016-05-21,0.00895445,0.00900585,0.00873156,0.00875964,267.65952200000004
2016-05-22,0.00894,0.0090612,0.00879504,0.00896597,332.8174997
2016-05-23,0.00899,0.009098,0.00879483,0.00897095,427.5260786
2016-05-24,0.00884689,0.00909957,0.00880515,0.00897975,509.8154237
2016-05-25,0.008939,0.0091,0.00883123,0.00884975,1005.576647
2016-05-26,0.00902204,0.00914631,0.00891777,0.0089391,461.0816222
2016-05-27,0.00936001,0.00988,0.00890088,0.00901852,2880.341529
2016-05-28,0.00860066,0.00985,0.00847,0.00938049,2613.530517
2016-05-29,0.00854729,0.008979899999999999,0.00836054,0.00858998,990.9702836
2016-05-30,0.00857059,0.00864999,0.0083,0.00853779,365.7277287
2016-05-31,0.00869436,0.00891526,0.00849786,0.00859999,501.0032997
2016-06-01,0.00877328,0.0089406,0.00865001,0.00870111,273.2607594
2016-06-02,0.00874778,0.00890993,0.00872558,0.00882,147.4116846
2016-06-03,0.00861455,0.00880194,0.00845,0.00874778,985.9807887
2016-06-04,0.00841001,0.0086179,0.00831001,0.00861456,629.9469182
2016-06-05,0.00835037,0.00846368,0.00817168,0.00846368,362.5480505
2016-06-06,0.00845041,0.008579999999999999,0.00835001,0.00840999,165.65947260000004
2016-06-07,0.00829743,0.00849949,0.00820976,0.00849949,310.3354038
2016-06-08,0.00819733,0.00834754,0.00811001,0.0082969,220.8533703
2016-06-09,0.00822999,0.00826698,0.008101899999999999,0.00819733,128.2227246
2016-06-10,0.00838864,0.00846435,0.00817102,0.00822999,124.1635487
2016-06-11,0.00831027,0.0085,0.00831,0.00838859,152.7031715
2016-06-12,0.00785999,0.00849899,0.00778121,0.00831027,684.9093512999998
2016-06-13,0.00753617,0.00797129,0.00735201,0.00785999,1060.813901
2016-06-14,0.00753367,0.00766907,0.00736512,0.00753595,917.1159621
2016-06-15,0.0075400000000000016,0.00766611,0.007396,0.00753368,461.0970009
2016-06-16,0.00747501,0.00757158,0.00699183,0.0075400000000000016,1130.69595
